Gene name
aceA	0.5883965	0.6512847	0.5739288	0.5440150	0.6875849	0.6479744	0.5633682	0.6018028	0.5992903	0.6404521	0.6324980	0.7070566	0.6381607	0.6964356	0.7629862	0.6218101	0.6336146	0.6618062	0.6599025	0.6008321	0.7060012	0.6978318	0.6902779	0.6468509	0.6655585	0.5936158	0.6011712	0.6924000	0.5359425	0.6826383	0.6828514	0.6609729	0.6672157	0.6032817	0.6763323	0.6438169	0.6707845	0.6634460	0.7665623	0.6362262	0.6854815	0.5856341	0.6105139	0.6661236	0.7230484	0.6940082	0.7040387	0.6393603	0.6312780	0.6376092	0.6191581	0.7352515	0.5436293	0.4679334	0.6578783	0.7078528	0.6418685	0.6836558	0.6512101	0.5471409	0.6565416	0.5933021	0.6774757	0.6554775	0.6247407	0.6722997	0.5780541	0.6517826	0.6406269	0.5102490	0.6713936	0.6320987	0.6686577	0.5961734	0.5860453	0.6765545	0.5582731	0.6216051	0.5964854	0.6181943	0.6787109	0.5971706	0.6137541	0.7114245	0.6640395	0.7031072	0.5072071	0.6804750	0.6777058	0.6259175	0.6590310	0.6513061	0.6518141	0.7116936	0.5884829	0.6195787	0.5921476	0.6186821	0.5807053	0.6591580
aceB	0.2540783	0.3935685	0.4148398	0.3941610	0.3143323	0.3210299	0.3097111	0.3511097	0.3648010	0.3711226	0.3666369	0.2708568	0.2576398	0.2723050	0.4145193	0.4036259	0.3506566	0.3830681	0.4963704	0.3269452	0.4336530	0.3040445	0.3600335	0.3133944	0.3825822	0.4543162	0.4146443	0.3619403	0.2815730	0.3383704	0.4177532	0.3930826	0.2855721	0.3034500	0.3457136	0.4544383	0.3775493	0.2932233	0.3024221	0.4177854	0.3790809	0.3131354	0.2762869	0.2531766	0.3846689	0.4616412	0.2380262	0.2724181	0.3125429	0.3500372	0.3269458	0.4639889	0.3955325	0.3188046	0.3275338	0.3728382	0.3555029	0.3110423	0.2736566	0.4412445	0.2955769	0.2966070	0.2933937	0.2406180	0.2353789	0.4060711	0.2431706	0.3542365	0.3998983	0.4583073	0.3818221	0.3253583	0.5136362	0.2905948	0.4051923	0.3926823	0.2957824	0.3487788	0.3838190	0.4826296	0.3597339	0.4180124	0.4421640	0.2820069	0.3386462	0.4076432	0.3190016	0.3542195	0.3384756	0.2646656	0.3351543	0.3554351	0.3430930	0.4078682	0.3677182	0.2998278	0.3788262	0.1764461	0.3822552	0.3950967
aceE	0.5549983	0.5304518	0.5412991	0.5946021	0.4865910	0.4240018	0.4552604	0.4629886	0.4565426	0.4361231	0.4904896	0.4901683	0.5719955	0.5914433	0.3280904	0.4814690	0.3803594	0.4358838	0.5194060	0.5102475	0.6984605	0.4206100	0.5132840	0.5625423	0.6211124	0.4961986	0.4896439	0.4096998	0.4678748	0.6367480	0.4234057	0.5018925	0.4692365	0.4965284	0.4071776	0.4792401	0.4489134	0.4494192	0.3943786	0.5805232	0.5641174	0.4864595	0.5053514	0.5877140	0.4144099	0.6431443	0.4750305	0.4670756	0.4336766	0.5686570	0.5398766	0.4971677	0.4402308	0.5267926	0.4484479	0.4226332	0.5511763	0.6113449	0.5694008	0.5449294	0.4650597	0.5145836	0.5083053	0.4554342	0.4455837	0.3895072	0.4823262	0.5215946	0.5415710	0.4674705	0.5376767	0.4521359	0.5185069	0.5167257	0.5016777	0.4913723	0.4468078	0.5545243	0.4494400	0.5403797	0.4838931	0.5425805	0.5632469	0.5889440	0.5287015	0.5105324	0.5279806	0.4601946	0.5174322	0.4205759	0.5619633	0.4758963	0.5175494	0.4125850	0.4592776	0.4908487	0.5509046	0.5207954	0.4836848	0.5662995
aceF	0.0181892	0.2748958	0.2153642	0.1706686	0.2108163	0.0521980	0.1452200	0.0863589	0.1528118	0.1600127	0.1856629	0.0680689	0.0430480	0.1502679	0.1926046	0.2402454	0.1708667	0.1638665	0.2501691	0.2408556	0.2236936	0.0601953	0.1634329	0.1550527	0.1253262	0.1566068	0.1887545	0.1159767	0.0276614	0.2292354	0.2029542	0.2164143	0.1118860	0.2216891	0.0409174	0.2044958	0.2036686	0.0613718	0.0159498	0.2156768	0.0842961	0.1540579	0.1416980	0.0430400	0.0500412	0.2021665	0.1890937	0.0468200	0.1793912	0.1478767	0.0652319	0.2371649	0.1140079	0.1321973	0.1982505	0.0851087	0.2527098	0.1138038	0.1974930	0.1696998	0.2247925	0.1825439	0.1786496	0.0323065	0.0392280	0.1679010	0.2401883	0.1309004	0.1186532	0.2728077	0.2079229	0.2422441	0.2433775	0.0428902	0.2923306	0.1024039	0.1576251	0.1956381	0.1681831	0.1767486	0.1836414	0.1520752	0.1840064	0.1042411	0.0918037	0.1927498	0.1526624	0.2421368	0.1232548	0.0238411	0.1929500	0.1464681	0.0707013	0.1707938	0.1903816	0.0319422	0.1814052	0.0342895	0.1623857	0.1748976
aceK	0.3829835	0.3444037	0.3416049	0.4089688	0.3794605	0.3454589	0.3543927	0.3568402	0.3537239	0.4550024	0.3340168	0.3540181	0.3563849	0.3562190	0.3043941	0.2782514	0.3552660	0.4632223	0.3408163	0.4107123	0.3628352	0.3323436	0.3754092	0.3247674	0.3484257	0.3304504	0.3308079	0.3139886	0.3480102	0.3582493	0.3610645	0.3611310	0.4713902	0.3054280	0.4449669	0.3557237	0.4528954	0.3382887	0.3571527	0.3414928	0.2897756	0.3564946	0.3246612	0.3565799	0.3681773	0.2892894	0.3907298	0.3223993	0.3270560	0.4313082	0.3124853	0.3639604	0.3396157	0.3536560	0.3941183	0.4127598	0.3448416	0.3242701	0.3342129	0.3767762	0.3938924	0.3258408	0.4442473	0.3388177	0.3292298	0.3898182	0.4785286	0.3381695	0.4604332	0.3589313	0.3211621	0.4695674	0.3900230	0.3660413	0.4355487	0.4043491	0.4205027	0.4500871	0.3995919	0.4356634	0.4173030	0.4239398	0.3265720	0.3341747	0.2733979	0.2994341	0.3100122	0.3491750	0.4048845	0.3766526	0.3493367	0.2656697	0.2891452	0.4210720	0.3236593	0.3534120	0.3864889	0.3103032	0.3781495	0.3978935
ackA	0.1511833	0.0312729	0.0184425	0.0848029	0.0314379	0.1243676	0.1035566	0.1247244	0.0331388	0.0495498	0.0619792	0.1211862	0.1021075	0.0593021	0.0390157	0.0252716	0.0277593	0.0486156	0.0692330	0.0115283	0.0208213	0.0993101	0.0454518	0.0558562	0.0734251	0.0586389	0.0390037	0.0713957	0.1491996	0.0489423	0.0623244	0.0303272	0.0473111	0.0195065	0.1997051	0.0447392	0.0849851	0.1074198	0.2171004	0.0137571	0.0893014	0.0432638	0.0324346	0.1148578	0.1409523	0.0277114	0.0853482	0.1564548	0.0766000	0.0346749	0.1252161	0.0335142	0.1167233	0.0599901	0.0467461	0.1398410	0.0193700	0.1049036	0.0617522	0.0396735	0.0254111	0.0223229	0.0619026	0.1456367	0.1175353	0.0464819	0.0378576	0.0306918	0.1282786	0.0149731	0.0408796	0.0188723	0.0110837	0.1771536	0.0440929	0.0521571	0.0213145	0.0349469	0.0353363	0.0318651	0.0276465	0.1381674	0.0359583	0.1425427	0.1818238	0.0505233	0.0545049	0.0165954	0.1015021	0.2038470	0.0381225	0.0205716	0.0828066	0.0771121	0.0425404	0.1265629	0.0561274	0.1159819	0.0168922	0.0582471
acnA	0.1034227	0.2702645	0.1941160	0.2446528	0.2788175	0.1489574	0.1693485	0.1934047	0.2139857	0.2558822	0.2426335	0.1314589	0.1510927	0.1823671	0.2190194	0.2448138	0.2711248	0.2460850	0.1993755	0.2536995	0.2831426	0.0817912	0.2026547	0.2470979	0.1920955	0.2805290	0.2926123	0.1834563	0.0962863	0.1710969	0.2170220	0.2224932	0.2321344	0.2198073	0.1588541	0.2567972	0.2085024	0.1032661	0.0641461	0.2897770	0.2516212	0.2129383	0.2171274	0.1524193	0.1292229	0.1501888	0.2510545	0.1040309	0.2280305	0.2157653	0.1136149	0.2811240	0.2404884	0.2528199	0.2832631	0.1059804	0.2703494	0.1483152	0.2179509	0.2121582	0.2269062	0.2824572	0.2318146	0.0919414	0.1191432	0.2333844	0.2433801	0.2323403	0.1767555	0.2323225	0.1786805	0.2659379	0.1961425	0.0841821	0.2218086	0.2639878	0.2366094	0.2750076	0.2006983	0.2605083	0.1903373	0.1452622	0.2681131	0.1718466	0.1597519	0.2426327	0.2178746	0.1800269	0.2209443	0.0838763	0.1925992	0.2372983	0.1308135	0.1872081	0.2180672	0.0887154	0.2085805	0.0729772	0.2301394	0.1791661
acnB	0.3923950	0.5626492	0.6513138	0.6146208	0.6896946	0.6386662	0.4344831	0.6067467	0.4900281	0.5640396	0.6905582	0.5600428	0.5285025	0.6929288	0.6177227	0.5844764	0.5411896	0.6078792	0.5428516	0.6079339	0.5356020	0.5034992	0.6166880	0.5199690	0.6164934	0.6384644	0.5719356	0.5669274	0.6087945	0.5802902	0.4837658	0.6494939	0.6284521	0.5200262	0.6237033	0.6619434	0.6733115	0.5559580	0.5200708	0.6152621	0.7330784	0.5875176	0.5906365	0.6452208	0.6665207	0.6698331	0.6348852	0.5955089	0.5755787	0.5303800	0.4060924	0.6156503	0.5850219	0.6489979	0.5999095	0.4690843	0.6214586	0.5518510	0.5822098	0.6122400	0.6857758	0.6471275	0.6067178	0.3759334	0.4740547	0.5791651	0.6695228	0.6811751	0.5653833	0.8326587	0.6190522	0.7190085	0.6696451	0.4818044	0.5779941	0.7453066	0.6548443	0.5363169	0.7761704	0.6538931	0.6372154	0.5369311	0.5892369	0.5162566	0.4726072	0.5843445	0.6665534	0.6116892	0.6609939	0.4474100	0.6815888	0.6324130	0.5370811	0.5780132	0.6926427	0.3710857	0.6397102	0.5498960	0.6580944	0.7343440
acrA	0.1025712	0.1072462	0.1442482	0.1095454	0.0989428	0.0849174	0.0819666	0.1248503	0.1051365	0.1221723	0.1061919	0.1701506	0.1190419	0.0796981	0.0970375	0.0818618	0.0805957	0.0921494	0.1627579	0.1099164	0.0946864	0.0764774	0.1023948	0.1136595	0.1461991	0.1498759	0.0801290	0.1176511	0.1338239	0.1691945	0.0504835	0.1008260	0.0867074	0.1399886	0.1206013	0.0880272	0.1541711	0.1327711	0.0970000	0.0891061	0.0879761	0.1094142	0.0671446	0.0831875	0.1366773	0.0816869	0.1014546	0.1568090	0.1167396	0.0714377	0.1282448	0.1160069	0.0506057	0.0798353	0.0869888	0.0670256	0.1018925	0.0917487	0.1065857	0.1071041	0.1596170	0.0572362	0.0935037	0.1121969	0.1055738	0.1381058	0.1217753	0.1161223	0.0997432	0.0771554	0.1179729	0.0860883	0.0401518	0.0947840	0.1336462	0.1388629	0.0666064	0.1046549	0.0856800	0.1268858	0.1095591	0.1129169	0.1904576	0.1230341	0.0943592	0.0984972	0.1381763	0.1059656	0.1306940	0.1190350	0.0774986	0.1310349	0.1127901	0.1177615	0.0724554	0.0793762	0.1275296	0.0945001	0.1166058	0.1439350
acrB	0.0122226	0.0082416	0.0422573	0.0160959	0.0172918	0.0207796	0.0115779	0.0358849	0.0717511	0.0409218	0.0242163	0.0141727	0.0263868	0.0306693	0.0181657	0.0163514	0.0371085	0.0263773	0.0442879	0.0059952	0.0375555	0.0303463	0.0308469	0.0206483	0.0129043	0.0369930	0.0231369	0.0204871	0.0145618	0.0241374	0.0105421	0.0423113	0.0313619	0.0379298	0.0089081	0.0217913	0.0133759	0.0255533	0.0355235	0.0256538	0.0168125	0.0311818	0.0270005	0.0259451	0.0154149	0.0029927	0.0201224	0.0210861	0.0212286	0.0384915	0.0139945	0.0162308	0.0374372	0.0181803	0.0267856	0.0241136	0.0324933	0.0551023	0.0207497	0.0245425	0.0141038	0.0191524	0.0207679	0.0231305	0.0501963	0.0092663	0.0278224	0.0430213	0.0089655	0.0157548	0.0260342	0.0078938	0.0533108	0.0059932	0.0359583	0.0148333	0.0104425	0.0289050	0.0222854	0.0209682	0.0221753	0.0578664	0.0554083	0.0133460	0.0138903	0.0174861	0.0340022	0.0078346	0.0182261	0.0172500	0.0189421	0.0254618	0.0344784	0.0121346	0.0232137	0.0219989	0.0186057	0.0387681	0.0154380	0.0279257
acrD	0.7006802	0.5859803	0.6188263	0.5937797	0.6067035	0.6522701	0.5495840	0.6456193	0.5881482	0.7118042	0.6775662	0.6211553	0.5636871	0.6200578	0.7150500	0.5861359	0.5655030	0.5381543	0.5736238	0.7347771	0.6445660	0.6758692	0.5747758	0.6502573	0.6335731	0.6543896	0.5447129	0.6034963	0.5175061	0.6383462	0.6445644	0.6293886	0.4753310	0.5469074	0.5438377	0.5421786	0.6425399	0.5974728	0.7097916	0.5481224	0.6678654	0.6004040	0.6187634	0.6031691	0.7462323	0.7307861	0.6912402	0.6616906	0.5831130	0.5804583	0.5793633	0.5552997	0.4925478	0.6239123	0.6204331	0.6679167	0.7168820	0.6482605	0.7200073	0.6913292	0.5855576	0.7470672	0.5704154	0.5702051	0.6392195	0.5962489	0.6021463	0.7110108	0.6252829	0.6070668	0.6297853	0.5968131	0.5420462	0.7043402	0.6187501	0.6404081	0.5885103	0.6504184	0.6611242	0.7160084	0.5348689	0.5858399	0.6178745	0.5523041	0.6696414	0.6314625	0.4977817	0.6755288	0.5335534	0.5856476	0.5677569	0.6372463	0.5970129	0.6930983	0.6338425	0.7008989	0.6584628	0.6103275	0.6499924	0.7089970
